id,precinct_name,votes_total,votes_harris,votes_trump,votes_stein,votes_oliver,votes_cruz,votes_west,votes_write-in
101,ARLINGTON,1048,626,366,42,5,0,5,4
102,ASHTON HEIGHTS,933,700,201,8,9,3,1,11
103,AURORA HILLS,507,339,137,6,9,4,0,12
104,BALLSTON,1111,811,264,17,6,2,1,10
105,BARCROFT,996,719,241,12,10,4,0,10
106,CRYSTAL CITY,656,471,169,4,2,1,1,8
107,CHERRYDALE,822,591,195,7,11,2,2,14
108,HUME,1152,837,258,15,17,7,3,15
109,COLUMBIA,983,690,241,18,7,6,8,13
110,WILSON,1078,763,256,20,13,2,4,20
111,EAST FALLS CHURCH,703,506,177,3,7,1,0,9
112,FAIRLINGTON,1038,765,223,12,9,5,3,21
113,GLEN CARYLN,822,521,264,17,11,2,3,4
114,CLARENDON,751,553,158,9,13,2,2,14
115,LYON PARK,592,396,170,18,2,0,1,5
116,LYON VILLAGE,1023,712,255,17,12,3,4,20
117,OVERLEE KNOLLS,857,605,218,7,8,5,3,11
118,PARK LANE,1227,846,312,19,17,4,8,21
119,ROSSLYN,1228,838,313,42,5,7,5,18
120,THRIFTON,580,410,137,7,5,0,2,19
121,VIRGINIA HIGHLANDS,479,327,127,13,6,1,1,4
122,ABINGDON,1014,782,195,6,11,3,0,17
123,WESTOVER,1023,755,225,5,13,5,1,19
124,WOODLAWN,1176,860,272,20,9,1,3,11
125,ARLINGTON FOREST,948,682,229,13,9,2,0,13
126,FILLMORE,989,695,247,18,7,2,7,13
127,JEFFERSON,1022,710,247,24,16,4,2,19
128,WAKEFIELD,1249,873,308,42,8,1,8,9
129,DOMINION HILLS,889,647,207,10,8,2,0,15
130,GLEBE,1041,740,245,21,11,9,4,11
131,LEXINGTON,873,662,182,9,7,2,3,8
132,OAKRIDGE,401,271,111,2,5,2,0,10
133,ROCK SPRING,783,511,240,2,14,3,0,13
134,YORKTOWN,743,536,179,4,9,0,4,11
135,MADISON,616,381,189,11,16,1,0,18
136,MARSHALL,832,591,200,14,8,3,2,14
137,NOTTINGHAM,855,605,208,10,10,3,0,19
138,ARLINGTON VIEW,835,572,231,11,6,2,3,10
139,ASHLAWN,592,434,141,5,7,0,1,4
140,VIRGINIA SQUARE,1294,901,334,27,18,0,2,12
141,NAVY LEAGUE,768,517,209,17,9,4,1,11
142,SHIRLINGTON,753,557,161,16,7,4,2,6
143,CAMPBELL,1040,612,381,36,0,3,4,4
144,DAWSON TERRACE,683,484,170,14,7,2,1,5
145,BUCKINGHAM,802,557,208,16,5,3,5,8
146,CENTRAL,1346,962,324,17,21,1,2,19
147,FOUR MILE RUN,795,584,172,21,2,3,5,8
148,AUSA,551,365,154,10,7,1,1,13
149,MONROE,878,636,205,16,8,3,2,8
150,CRYSTAL PLAZA,851,610,192,14,12,4,5,14
151,TAYLOR,414,327,78,2,6,0,0,1
152,GUNSTON,868,578,249,24,5,1,2,9
153,MET PARK,1028,739,247,20,9,3,0,10
154,GARFIELD PARK,425,317,85,3,3,4,0,13
0,ARLINGTON COUNTY PROVISIONALS,0,0,0,0,0,0,0,0
