"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"President / Vice President (Vote For 1)","(R) Donald J. Trump","(R)",170781,29.25,925858,587090,287,142,"0","0"
2,"President / Vice President (Vote For 1)","(D) Kamala D. Harris","(D)",398968,68.32,925858,587090,287,142,"0","0"
3,"President / Vice President (Vote For 1)","(L) Chase Oliver","(L)",4631,0.79,925858,587090,287,142,"0","0"
4,"President / Vice President (Vote For 1)","(G) Jill Stein","(G)",5886,1.01,925858,587090,287,142,"0","0"
5,"President / Vice President (Vote For 1)","Write-in","NON",3690,0.63,925858,587090,287,142,"0","0"
6,"United States Senator (Vote For 1)","(R) Ted Cruz","(R)",157197,27.16,925858,587090,287,142,"0","0"
7,"United States Senator (Vote For 1)","(D) Colin Allred","(D)",407198,70.34,925858,587090,287,142,"0","0"
8,"United States Senator (Vote For 1)","(L) Ted Brown","(L)",13889,2.40,925858,587090,287,142,"0","0"
9,"United States Senator (Vote For 1)","Write-in","NON",601,0.10,925858,587090,287,142,"0","0"
10,"United States Representative District 10 (Vote For 1)","(R) Michael T. McCaul","(R)",51818,53.31,145523,101464,44,22,"0","0"
11,"United States Representative District 10 (Vote For 1)","(D) Theresa Boisseau","(D)",43194,44.43,145523,101464,44,22,"0","0"
12,"United States Representative District 10 (Vote For 1)","(L) Jeff Miller","(L)",2198,2.26,145523,101464,44,22,"0","0"
13,"United States Representative District 17 (Vote For 1)","(R) Pete Sessions","(R)",10968,37.47,49240,30995,17,10,"0","0"
14,"United States Representative District 17 (Vote For 1)","(D) Mark Lorenzen","(D)",18304,62.53,49240,30995,17,10,"0","0"
15,"United States Representative District 21 (Vote For 1)","(R) Chip Roy","(R)",6234,43.59,21177,14832,7,4,"0","0"
16,"United States Representative District 21 (Vote For 1)","(D) Kristin Hook","(D)",7779,54.40,21177,14832,7,4,"0","0"
17,"United States Representative District 21 (Vote For 1)","(L) Bob King","(L)",287,2.01,21177,14832,7,4,"0","0"
18,"United States Representative District 35 (Vote For 1)","(R) Steven Wright","(R)",22894,22.95,193926,106464,58,28,"0","0"
19,"United States Representative District 35 (Vote For 1)","(D) Greg Casar","(D)",76869,77.05,193926,106464,58,28,"0","0"
20,"United States Representative District 37 (Vote For 1)","(R) Jenny Garcia Sharon","(R)",73859,23.14,515992,333335,161,78,"0","0"
21,"United States Representative District 37 (Vote For 1)","(D) Lloyd Doggett","(D)",238460,74.71,515992,333335,161,78,"0","0"
22,"United States Representative District 37 (Vote For 1)","(L) Girish Altekar","(L)",6855,2.15,515992,333335,161,78,"0","0"
23,"Railroad Commissioner (Vote For 1)","(R) Christi Craddick","(R)",167707,30.13,925858,587090,287,142,"0","0"
24,"Railroad Commissioner (Vote For 1)","(D) Katherine Culbert","(D)",350141,62.90,925858,587090,287,142,"0","0"
25,"Railroad Commissioner (Vote For 1)","(L) Hawk Dunlap","(L)",17158,3.08,925858,587090,287,142,"0","0"
26,"Railroad Commissioner (Vote For 1)","(G) Eddie Espinoza","(G)",21276,3.82,925858,587090,287,142,"0","0"
27,"Railroad Commissioner (Vote For 1)","Write-in","NON",356,0.06,925858,587090,287,142,"0","0"
28,"Justice, Supreme Court, Place 2 (Vote For 1)","(R) Jimmy Blacklock","(R)",173810,31.25,925858,587090,287,142,"0","0"
